t-ab	t̪ˠ a bˠ
d'infheisteofaí	dʲ i nʲ ə ʃ tʲ oː fˠ iː
n-infheisteofar	nʲ i nʲ ə ʃ tʲ oː fˠ ə ɾˠ
n-infheisteoidh	nʲ i nʲ ə ʃ tʲ o j
n-infheisteoidís	nʲ i nʲ ə ʃ tʲ oː dʲ iː ʃ
d'infheisteoidís	dʲ i nʲ ə ʃ tʲ oː dʲ iː ʃ
n-infheisteoimid	nʲ i nʲ ə ʃ tʲ oː mʲ i dʲ
n-infheisteoimis	nʲ i nʲ ə ʃ tʲ oː mʲ i ʃ
d'infheisteoimis	dʲ i nʲ ə ʃ tʲ oː mʲ i ʃ
n-infheisteoinn	nʲ i nʲ ə ʃ tʲ o n̻ʲ
d'infheisteoinn	dʲ i nʲ ə ʃ tʲ o n̻ʲ
b'infheisteora	bʲ i nʲ ə ʃ tʲ oː ɾˠ ə
n-infheisteora	nʲ i nʲ ə ʃ tʲ oː ɾˠ ə
d'infheisteora	dʲ i nʲ ə ʃ tʲ oː ɾˠ ə
m'infheisteora	mʲ i nʲ ə ʃ tʲ oː ɾˠ ə
n-infheistí	nʲ i nʲ ə ʃ tʲ iː
n-infheistídís	nʲ i nʲ ə ʃ tʲ iː dʲ iː ʃ
d'infheistídís	dʲ i nʲ ə ʃ tʲ iː dʲ iː ʃ
n-infheistigh	nʲ ˌ  i nʲ ˈ e ʃ  tʲ iː
d'infheistigh	dʲ ˌ  i nʲ ˈ e ʃ  tʲ iː
n-infheistígí	nʲ i nʲ ə ʃ tʲ iː ɟ iː
n-infheistím	nʲ i nʲ ə ʃ tʲ iː mʲ
n-infheistímid	nʲ i nʲ ə ʃ tʲ iː mʲ i dʲ
n-infheistímis	nʲ i nʲ ə ʃ tʲ iː mʲ i ʃ
d'infheistímis	dʲ i nʲ ə ʃ tʲ iː mʲ i ʃ
n-infheistínn	nʲ i nʲ ə ʃ tʲ iː n̻ʲ
d'infheistínn	dʲ i nʲ ə ʃ tʲ iː n̻ʲ
b'infheistíochtaí	bʲ i nʲ ə ʃ tʲ ia ɾˠ t̪ˠ iː
n-infheistíochtaí	nʲ i nʲ ə ʃ tʲ ia ɾˠ t̪ˠ iː
d'infheistíochtaí	dʲ i nʲ ə ʃ tʲ ia ɾˠ t̪ˠ iː
m'infheistíochtaí	mʲ i nʲ ə ʃ tʲ ia ɾˠ t̪ˠ iː
n-infheistíodar	nʲ i nʲ ə ʃ tʲ iː d̪ˠ ə ɾˠ
d'infheistíodar	dʲ i nʲ ə ʃ tʲ iː d̪ˠ ə ɾˠ
n-infheistíodh	nʲ i nʲ ə ʃ tʲ iː uː
d'infheistíodh	dʲ i nʲ ə ʃ tʲ iː uː
n-infheistíomar	nʲ i nʲ ə ʃ tʲ iː mˠ ə ɾˠ
d'infheistíomar	dʲ i nʲ ə ʃ tʲ iː mˠ ə ɾˠ
n-infheistíonn	nʲ i nʲ ə ʃ tʲ iː n̻ˠ
n-infheistíteá	nʲ i nʲ ə ʃ tʲ iː tʲ aː
d'infheistíteá	dʲ i nʲ ə ʃ tʲ iː tʲ aː
n-infheistítear	nʲ i nʲ ə ʃ tʲ iː tʲ ə ɾˠ
b'infheistithe	bʲ i nʲ ə ʃ tʲ iː
n-infheistithe	nʲ i nʲ ə ʃ tʲ iː
d'infheistithe	dʲ i nʲ ə ʃ tʲ iː
m'infheistithe	mʲ i nʲ ə ʃ tʲ iː
n-infheistítí	nʲ i nʲ ə ʃ tʲ iː tʲ iː
d'infheistítí	dʲ i nʲ ə ʃ tʲ iː tʲ iː
n-infhill	nʲ ˌ  i nʲ ˈ i l̻ʲ
d'infhill	dʲ ˌ  i nʲ ˈ i l̻ʲ
n-infhille	nʲ i nʲ i l̻ʲ ə
n-infhilleadar	nʲ i nʲ i l̻ʲ ə d̪ˠ ə ɾˠ
d'infhilleadar	dʲ i nʲ i l̻ʲ ə d̪ˠ ə ɾˠ
t-infhilleadh	tʲ i nʲ i l̻ʲ uː
b'infhilleadh	bʲ i nʲ i l̻ʲ uː
n-infhilleadh	nʲ i nʲ i l̻ʲ uː
d'infhilleadh	dʲ i nʲ i l̻ʲ uː
m'infhilleadh	mʲ i nʲ i l̻ʲ uː
n-infhilleamar	nʲ i nʲ i l̻ʲ ə mˠ ə ɾˠ
d'infhilleamar	dʲ i nʲ i l̻ʲ ə mˠ ə ɾˠ
n-infhilleann	nʲ i nʲ i l̻ʲ ə n̻ˠ
n-infhillfeá	nʲ i nʲ i l̻̊ʲ aː
d'infhillfeá	dʲ i nʲ i l̻̊ʲ aː
n-infhillfeadh	nʲ i nʲ i l̻̊ʲ uː
d'infhillfeadh	dʲ i nʲ i l̻̊ʲ uː
n-infhillfear	nʲ i nʲ i l̻ʲ ə fʲ ə ɾˠ
n-infhillfí	nʲ i nʲ i l̻ʲ ə fʲ iː
d'infhillfí	dʲ i nʲ i l̻ʲ ə fʲ iː
n-infhillfidh	nʲ i nʲ i l̻̊ʲ iː
n-infhillfidís	nʲ i nʲ i l̻̊ʲ i dʲ iː ʃ
d'infhillfidís	dʲ i nʲ i l̻̊ʲ i dʲ iː ʃ
n-infhillfimid	nʲ i nʲ i l̻̊ʲ i mʲ i dʲ
n-infhillfimis	nʲ i nʲ i l̻̊ʲ i mʲ i ʃ
d'infhillfimis	dʲ i nʲ i l̻̊ʲ i mʲ i ʃ
n-infhillfinn	nʲ i nʲ i l̻̊ʲ i n̻ʲ
d'infhillfinn	dʲ i nʲ i l̻̊ʲ i n̻ʲ
b'infhillidh	bʲ i nʲ i l̻ʲ iː
n-infhillidh	nʲ i nʲ i l̻ʲ iː
d'infhillidh	dʲ i nʲ i l̻ʲ iː
m'infhillidh	mʲ i nʲ i l̻ʲ iː
n-infhillidís	nʲ i nʲ i l̻ʲ i dʲ iː ʃ
d'infhillidís	dʲ i nʲ i l̻ʲ i dʲ iː ʃ
n-infhilligí	nʲ i nʲ i l̻ʲ i ɟ iː
n-infhillim	nʲ i nʲ i l̻ʲ i mʲ
n-infhillimid	nʲ i nʲ i l̻ʲ i mʲ i dʲ
n-infhillimis	nʲ i nʲ i l̻ʲ i mʲ i ʃ
d'infhillimis	dʲ i nʲ i l̻ʲ i mʲ i ʃ
n-infhillinn	nʲ i nʲ i l̻ʲ i n̻ʲ
d'infhillinn	dʲ i nʲ i l̻ʲ i n̻ʲ
n-infhillteá	nʲ i nʲ i l̻ʲ tʲ aː
d'infhillteá	dʲ i nʲ i l̻ʲ tʲ aː
n-infhilltear	nʲ i nʲ i l̻ʲ tʲ ə ɾˠ
n-infhilltí	nʲ i nʲ i l̻ʲ tʲ iː
d'infhilltí	dʲ i nʲ i l̻ʲ tʲ iː
b'infhiosaithe	bʲ i nʲ i sˠ iː
n-infhiosaithe	nʲ i nʲ i sˠ iː
b'infhiosaitheacht	bʲ i nʲ i sˠ ai ç a ɾˠ t̪ˠ
n-infhiosaitheacht	nʲ i nʲ i sˠ ai ç a ɾˠ t̪ˠ
d'infhiosaitheacht	dʲ i nʲ i sˠ ai ç a ɾˠ t̪ˠ
m'infhiosaitheacht	mʲ i nʲ i sˠ ai ç a ɾˠ t̪ˠ
b'infhiosaitheachta	bʲ i nʲ i sˠ ai ç ə ɾˠ t̪ˠ ə
n-infhiosaitheachta	nʲ i nʲ i sˠ ai ç ə ɾˠ t̪ˠ ə
d'infhiosaitheachta	dʲ i nʲ i sˠ ai ç ə ɾˠ t̪ˠ ə
m'infhiosaitheachta	mʲ i nʲ i sˠ ai ç ə ɾˠ t̪ˠ ə
b'infhoirfe	bʲ i nʲ ə ɾʲ ə fʲ ə
n-infhoirfe	nʲ i nʲ ə ɾʲ ə fʲ ə
b'infhuascailte	bʲ ˌ  i n̻ˠ ˈ ua sˠ  k ə l̻ʲ  tʲ ə
n-infhuascailte	nʲ ˌ  i n̻ˠ ˈ ua sˠ  k ə l̻ʲ  tʲ ə
b'infinid	bʲ i nʲ ə fʲ i nʲ i dʲ
n-infinid	nʲ i nʲ ə fʲ i nʲ i dʲ
d'infinid	dʲ i nʲ ə fʲ i nʲ i dʲ
m'infinid	mʲ i nʲ ə fʲ i nʲ i dʲ
b'infinide	bʲ i nʲ ə fʲ i nʲ i dʲ ə
n-infinide	nʲ i nʲ ə fʲ i nʲ i dʲ ə
d'infinide	dʲ i nʲ ə fʲ i nʲ i dʲ ə
m'infinide	mʲ i nʲ ə fʲ i nʲ i dʲ ə
t-infinideach	tʲ ˌ  i nʲ ˈ fʲ ə  nʲ ə  dʲ a h
b'infinideach	bʲ ˌ  i nʲ ˈ fʲ ə  nʲ ə  dʲ a h
n-infinideach	nʲ ˌ  i nʲ ˈ fʲ ə  nʲ ə  dʲ a h
d'infinideach	dʲ ˌ  i nʲ ˈ fʲ ə  nʲ ə  dʲ a h
m'infinideach	mʲ ˌ  i nʲ ˈ fʲ ə  nʲ ə  dʲ a h
b'infinideacha	bʲ i nʲ ə fʲ i nʲ i dʲ a h ə
n-infinideacha	nʲ i nʲ ə fʲ i nʲ i dʲ a h ə
b'infinideacht	bʲ i nʲ ə fʲ i nʲ i dʲ a ɾˠ t̪ˠ
n-infinideacht	nʲ i nʲ ə fʲ i nʲ i dʲ a ɾˠ t̪ˠ
d'infinideacht	dʲ i nʲ ə fʲ i nʲ i dʲ a ɾˠ t̪ˠ
m'infinideacht	mʲ i nʲ ə fʲ i nʲ i dʲ a ɾˠ t̪ˠ
b'infinideachta	bʲ i nʲ ə fʲ i nʲ i dʲ ə ɾˠ t̪ˠ ə
n-infinideachta	nʲ i nʲ ə fʲ i nʲ i dʲ ə ɾˠ t̪ˠ ə
d'infinideachta	dʲ i nʲ ə fʲ i nʲ i dʲ ə ɾˠ t̪ˠ ə
m'infinideachta	mʲ i nʲ ə fʲ i nʲ i dʲ ə ɾˠ t̪ˠ ə
b'infinidí	bʲ i nʲ ə fʲ i nʲ i dʲ iː
n-infinidí	nʲ i nʲ ə fʲ i nʲ i dʲ iː
b'infinidigh	bʲ i nʲ ə fʲ i nʲ i dʲ iː
n-infinidigh	nʲ i nʲ ə fʲ i nʲ i dʲ iː
d'infinidigh	dʲ i nʲ ə fʲ i nʲ i dʲ iː
m'infinidigh	mʲ i nʲ ə fʲ i nʲ i dʲ iː
b'infir	bʲ i nʲ ə fʲ i ɾʲ
n-infir	nʲ i nʲ ə fʲ i ɾʲ
d'infir	dʲ i nʲ ə fʲ i ɾʲ
m'infir	mʲ i nʲ ə fʲ i ɾʲ
b'infridhearga	bʲ i nʲ ə fʲ ɾʲ iː ə ɾˠ ə ɡ ə
n-infridhearga	nʲ i nʲ ə fʲ ɾʲ iː ə ɾˠ ə ɡ ə
b'infridheirge	bʲ i nʲ ə fʲ ɾʲ iː ə ɾʲ ə ɟ ə
n-infridheirge	nʲ i nʲ ə fʲ ɾʲ iː ə ɾʲ ə ɟ ə
t-ingear	tʲ ˌ  i ɲ ˈ ɟ ə ɾˠ
b'ingear	bʲ ˌ  i ɲ ˈ ɟ ə ɾˠ
n-ingear	nʲ ˌ  i ɲ ˈ ɟ ə ɾˠ
d'ingear	dʲ ˌ  i ɲ ˈ ɟ ə ɾˠ
m'ingear	mʲ ˌ  i ɲ ˈ ɟ ə ɾˠ
b'ingearach	bʲ ˌ  i ɲ ˈ ɟ ə  ɾˠ a h
n-ingearach	nʲ ˌ  i ɲ ˈ ɟ ə  ɾˠ a h
b'ingearacha	bʲ i ɲ ɟ ə ɾˠ a h ə
n-ingearacha	nʲ i ɲ ɟ ə ɾˠ a h ə
b'ingearaí	bʲ i ɲ ɟ ə ɾˠ iː
n-ingearaí	nʲ i ɲ ɟ ə ɾˠ iː
b'ingearaigh	bʲ i ɲ ɟ ə ɾˠ iː
n-ingearaigh	nʲ i ɲ ɟ ə ɾˠ iː
t-ingearchló	tʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː
b'ingearchló	bʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː
n-ingearchló	nʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː
d'ingearchló	dʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː
m'ingearchló	mʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː
b'ingearchlónna	bʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː n̻ˠ ə
n-ingearchlónna	nʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː n̻ˠ ə
d'ingearchlónna	dʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː n̻ˠ ə
m'ingearchlónna	mʲ i ɲ ɟ ə ɾˠ ə x l̻ˠ oː n̻ˠ ə
b'inghlacthachta	bʲ i ɲ hʲ lʲ ə k ə ɾˠ t̪ˠ ə
n-inghlacthachta	nʲ i ɲ hʲ lʲ ə k ə ɾˠ t̪ˠ ə
d'inghlacthachta	dʲ i ɲ hʲ lʲ ə k ə ɾˠ t̪ˠ ə
m'inghlacthachta	mʲ i ɲ hʲ lʲ ə k ə ɾˠ t̪ˠ ə
b'inghreim	bʲ i ɲ hʲ ɾʲ ə mʲ
n-inghreim	nʲ i ɲ hʲ ɾʲ ə mʲ
d'inghreim	dʲ i ɲ hʲ ɾʲ ə mʲ
m'inghreim	mʲ i ɲ hʲ ɾʲ ə mʲ
b'inghreime	bʲ i ɲ hʲ ɾʲ ə mʲ ə
n-inghreime	nʲ i ɲ hʲ ɾʲ ə mʲ ə
d'inghreime	dʲ i ɲ hʲ ɾʲ ə mʲ ə
m'inghreime	mʲ i ɲ hʲ ɾʲ ə mʲ ə
b'inghreimeanna	bʲ i ɲ hʲ ɾʲ ə mʲ ə n̻ˠ ə
n-inghreimeanna	nʲ i ɲ hʲ ɾʲ ə mʲ ə n̻ˠ ə
d'inghreimeanna	dʲ i ɲ hʲ ɾʲ ə mʲ ə n̻ˠ ə
m'inghreimeanna	mʲ i ɲ hʲ ɾʲ ə mʲ ə n̻ˠ ə
b'ingir	bʲ i ɲ ɟ i ɾʲ
n-ingir	nʲ i ɲ ɟ i ɾʲ
d'ingir	dʲ i ɲ ɟ i ɾʲ
m'ingir	mʲ i ɲ ɟ i ɾʲ
b'ingneach	bʲ ˌ  i ɲ ˈ nʲ a h
n-ingneach	nʲ ˌ  i ɲ ˈ nʲ a h
b'ingneacha	bʲ i ɲ nʲ a h ə
n-ingneacha	nʲ i ɲ nʲ a h ə
b'ingní	bʲ i ɲ nʲ iː
n-ingní	nʲ i ɲ nʲ iː
b'ingnigh	bʲ i ɲ nʲ iː
n-ingnigh	nʲ i ɲ nʲ iː
t-inia	tʲ i nʲ ia
b'inia	bʲ i nʲ ia
n-inia	nʲ i nʲ ia
d'inia	dʲ i nʲ ia
m'inia	mʲ i nʲ ia
n-iniadar	nʲ i nʲ ia d̪ˠ ə ɾˠ
d'iniadar	dʲ i nʲ ia d̪ˠ ə ɾˠ
n-iniadh	nʲ i nʲ ia
d'iniadh	dʲ i nʲ ia
n-iniafá	nʲ i nʲ ia h aː
d'iniafá	dʲ i nʲ ia h aː
n-iniafadh	nʲ i nʲ ia h uː
d'iniafadh	dʲ i nʲ ia h uː
n-iniafaí	nʲ i nʲ ia fˠ iː
d'iniafaí	dʲ i nʲ ia fˠ iː
n-iniafaidh	nʲ i nʲ ia h iː
n-iniafaidís	nʲ i nʲ ia h ə dʲ iː ʃ
d'iniafaidís	dʲ i nʲ ia h ə dʲ iː ʃ
n-iniafaimid	nʲ i nʲ ia h ə mʲ i dʲ
n-iniafaimis	nʲ i nʲ ia h ə mʲ i ʃ
d'iniafaimis	dʲ i nʲ ia h ə mʲ i ʃ
n-iniafainn	nʲ i nʲ ia h ə n̻ʲ
d'iniafainn	dʲ i nʲ ia h ə n̻ʲ
n-iniafar	nʲ i nʲ ia fˠ ə ɾˠ
n-iniaidís	nʲ i nʲ ia dʲ iː ʃ
d'iniaidís	dʲ i nʲ ia dʲ iː ʃ
n-iniaigh	nʲ i nʲ ia j
d'iniaigh	dʲ i nʲ ia j
n-iniaigí	nʲ i nʲ ia ɟ iː
n-iniaim	nʲ i nʲ ia mʲ
b'iniaimh	bʲ i nʲ ia vʲ
n-iniaimh	nʲ i nʲ ia vʲ
d'iniaimh	dʲ i nʲ ia vʲ
m'iniaimh	mʲ i nʲ ia vʲ
n-iniaimid	nʲ i nʲ ia mʲ i dʲ
n-iniaimis	nʲ i nʲ ia mʲ i ʃ
d'iniaimis	dʲ i nʲ ia mʲ i ʃ
n-iniainn	nʲ i nʲ ia n̻ʲ
d'iniainn	dʲ i nʲ ia n̻ʲ
n-iniamar	nʲ i nʲ ia mˠ ə ɾˠ
d'iniamar	dʲ i nʲ ia mˠ ə ɾˠ
t-iniamh	tʲ i nʲ ia vˠ
b'iniamh	bʲ i nʲ ia vˠ
n-iniamh	nʲ i nʲ ia vˠ
d'iniamh	dʲ i nʲ ia vˠ
m'iniamh	mʲ i nʲ ia vˠ
n-iniann	nʲ i nʲ ia n̻ˠ
b'iniata	bʲ i nʲ ia t̪ˠ ə
n-iniata	nʲ i nʲ ia t̪ˠ ə
b'inimircigh	bʲ i nʲ i mʲ i ɾʲ c iː
n-inimircigh	nʲ i nʲ i mʲ i ɾʲ c iː
d'inimircigh	dʲ i nʲ i mʲ i ɾʲ c iː
m'inimircigh	mʲ i nʲ i mʲ i ɾʲ c iː
b'iníne	bʲ i nʲ iː nʲ ə
n-iníne	nʲ i nʲ iː nʲ ə
d'iníne	dʲ i nʲ iː nʲ ə
m'iníne	mʲ i nʲ iː nʲ ə
b'iniompartha	bʲ i nʲ i mˠ pˠ ə ɾ̥ˠ ə
n-iniompartha	nʲ i nʲ i mˠ pˠ ə ɾ̥ˠ ə
b'iníonacha	bʲ i nʲ iː n̻ˠ a h ə
n-iníonacha	nʲ i nʲ iː n̻ˠ a h ə
d'iníonacha	dʲ i nʲ iː n̻ˠ a h ə
m'iníonacha	mʲ i nʲ iː n̻ˠ a h ə
b'iníonacht	bʲ i nʲ iː n̻ˠ a ɾˠ t̪ˠ
n-iníonacht	nʲ i nʲ iː n̻ˠ a ɾˠ t̪ˠ
d'iníonacht	dʲ i nʲ iː n̻ˠ a ɾˠ t̪ˠ
m'iníonacht	mʲ i nʲ iː n̻ˠ a ɾˠ t̪ˠ
b'iníonachta	bʲ i nʲ iː n̻ˠ ə ɾˠ t̪ˠ ə
n-iníonachta	nʲ i nʲ iː n̻ˠ ə ɾˠ t̪ˠ ə
d'iníonachta	dʲ i nʲ iː n̻ˠ ə ɾˠ t̪ˠ ə
m'iníonachta	mʲ i nʲ iː n̻ˠ ə ɾˠ t̪ˠ ə
b'iníonra	bʲ i nʲ iː n̻ˠ ɾˠ ə
n-iníonra	nʲ i nʲ iː n̻ˠ ɾˠ ə
d'iníonra	dʲ i nʲ iː n̻ˠ ɾˠ ə
m'iníonra	mʲ i nʲ iː n̻ˠ ɾˠ ə
b'iníonraí	bʲ i nʲ iː n̻ˠ ɾˠ iː
n-iníonraí	nʲ i nʲ iː n̻ˠ ɾˠ iː
d'iníonraí	dʲ i nʲ iː n̻ˠ ɾˠ iː
m'iníonraí	mʲ i nʲ iː n̻ˠ ɾˠ iː
b'iníonúil	bʲ i nʲ iː n̻ˠ u lʲ
n-iníonúil	nʲ i nʲ iː n̻ˠ u lʲ
b'iníonúla	bʲ i nʲ iː n̻ˠ uː l̻ˠ ə
n-iníonúla	nʲ i nʲ iː n̻ˠ uː l̻ˠ ə
b'inír	bʲ i nʲ iː ɾʲ
n-inír	nʲ i nʲ iː ɾʲ
d'inír	dʲ i nʲ iː ɾʲ
m'inír	mʲ i nʲ iː ɾʲ
b'iníseal	bʲ i nʲ iː ʃ ə l̻ˠ
n-iníseal	nʲ i nʲ iː ʃ ə l̻ˠ
b'inisealacha	bʲ i nʲ i ʃ ə l̻ˠ a h ə
n-inisealacha	nʲ i nʲ i ʃ ə l̻ˠ a h ə
d'inisealacha	dʲ i nʲ i ʃ ə l̻ˠ a h ə
m'inisealacha	mʲ i nʲ i ʃ ə l̻ˠ a h ə
b'inisil	bʲ i nʲ i ʃ i lʲ
n-inisil	nʲ i nʲ i ʃ i lʲ
d'inisil	dʲ i nʲ i ʃ i lʲ
m'inisil	mʲ i nʲ i ʃ i lʲ
b'inísil	bʲ i nʲ iː ʃ i lʲ
n-inísil	nʲ i nʲ iː ʃ i lʲ
b'inísle	bʲ i nʲ iː ʃ lʲ ə
n-inísle	nʲ i nʲ iː ʃ lʲ ə
b'inite	bʲ ˌ  i nʲ ˈ i  tʲ ə
n-inite	nʲ ˌ  i nʲ ˈ i  tʲ ə
n-iniúcha	nʲ i nʲ uː h ə
n-iniúchadar	nʲ i nʲ uː h ə d̪ˠ ə ɾˠ
d'iniúchadar	dʲ i nʲ uː h ə d̪ˠ ə ɾˠ
n-iniúchaidís	nʲ i nʲ uː h ə dʲ iː ʃ
d'iniúchaidís	dʲ i nʲ uː h ə dʲ iː ʃ
n-iniúchaigí	nʲ i nʲ uː h ə ɟ iː
n-iniúchaim	nʲ i nʲ uː h ə mʲ
n-iniúchaimid	nʲ i nʲ uː h ə mʲ i dʲ
n-iniúchaimis	nʲ i nʲ uː h ə mʲ i ʃ
d'iniúchaimis	dʲ i nʲ uː h ə mʲ i ʃ
n-iniúchainn	nʲ i nʲ uː h ə n̻ʲ
d'iniúchainn	dʲ i nʲ uː h ə n̻ʲ
n-iniúchamar	nʲ i nʲ uː h ə mˠ ə ɾˠ
d'iniúchamar	dʲ i nʲ uː h ə mˠ ə ɾˠ
n-iniúchann	nʲ i nʲ uː h ə n̻ˠ
n-iniúchfá	nʲ i nʲ uː x aː
d'iniúchfá	dʲ i nʲ uː x aː
n-iniúchfadh	nʲ i nʲ uː x uː
d'iniúchfadh	dʲ i nʲ uː x uː
n-iniúchfaí	nʲ i nʲ uː h fˠ iː
d'iniúchfaí	dʲ i nʲ uː h fˠ iː
n-iniúchfaidh	nʲ i nʲ uː x iː
n-iniúchfaidís	nʲ i nʲ uː x ə dʲ iː ʃ
d'iniúchfaidís	dʲ i nʲ uː x ə dʲ iː ʃ
n-iniúchfaimid	nʲ i nʲ uː x ə mʲ i dʲ
n-iniúchfaimis	nʲ i nʲ uː x ə mʲ i ʃ
d'iniúchfaimis	dʲ i nʲ uː x ə mʲ i ʃ
n-iniúchfainn	nʲ i nʲ uː x ə n̻ʲ
d'iniúchfainn	dʲ i nʲ uː x ə n̻ʲ
n-iniúchfar	nʲ i nʲ uː h fˠ ə ɾˠ
t-iniúchóir	ˈ tʲ i  nʲ u  h o ɾʲ
b'iniúchóir	ˈ bʲ i  nʲ u  h o ɾʲ
n-iniúchóir	ˈ nʲ i  nʲ u  h o ɾʲ
d'iniúchóir	ˈ dʲ i  nʲ u  h o ɾʲ
m'iniúchóir	ˈ mʲ i  nʲ u  h o ɾʲ
b'iniúchóirí	bʲ i nʲ uː h oː ɾʲ iː
n-iniúchóirí	nʲ i nʲ uː h oː ɾʲ iː
d'iniúchóirí	dʲ i nʲ uː h oː ɾʲ iː
m'iniúchóirí	mʲ i nʲ uː h oː ɾʲ iː
b'iniúchóra	bʲ i nʲ uː h oː ɾˠ ə
n-iniúchóra	nʲ i nʲ uː h oː ɾˠ ə
d'iniúchóra	dʲ i nʲ uː h oː ɾˠ ə
m'iniúchóra	mʲ i nʲ uː h oː ɾˠ ə
n-iniúchtá	nʲ i nʲ uː ɾˠ t̪ˠ aː
d'iniúchtá	dʲ i nʲ uː ɾˠ t̪ˠ aː
n-iniúchtaí	nʲ i nʲ uː ɾˠ t̪ˠ iː
d'iniúchtaí	dʲ i nʲ uː ɾˠ t̪ˠ iː
n-iniúchtar	nʲ i nʲ uː ɾˠ t̪ˠ ə ɾˠ
b'inlasta	bʲ ˌ  i n̻ˠ ˈ l̻ˠ a sˠ  t̪ˠ ə
n-inlasta	nʲ ˌ  i n̻ˠ ˈ l̻ˠ a sˠ  t̪ˠ ə
t-inleadh	tʲ i nʲ lʲ uː
b'inleadh	bʲ i nʲ lʲ uː
n-inleadh	nʲ i nʲ lʲ uː
d'inleadh	dʲ i nʲ lʲ uː
m'inleadh	mʲ i nʲ lʲ uː
b'inléite	bʲ i nʲ lʲ eː tʲ ə
n-inléite	nʲ i nʲ lʲ eː tʲ ə
b'inléiteacht	bʲ i nʲ lʲ eː tʲ a ɾˠ t̪ˠ
n-inléiteacht	nʲ i nʲ lʲ eː tʲ a ɾˠ t̪ˠ
d'inléiteacht	dʲ i nʲ lʲ eː tʲ a ɾˠ t̪ˠ
m'inléiteacht	mʲ i nʲ lʲ eː tʲ a ɾˠ t̪ˠ
b'inléiteachta	bʲ i nʲ lʲ eː tʲ ə ɾˠ t̪ˠ ə
n-inléiteachta	nʲ i nʲ lʲ eː tʲ ə ɾˠ t̪ˠ ə
d'inléiteachta	dʲ i nʲ lʲ eː tʲ ə ɾˠ t̪ˠ ə
m'inléiteachta	mʲ i nʲ lʲ eː tʲ ə ɾˠ t̪ˠ ə
n-inleodh	nʲ i nʲ lʲ o
d'inleodh	dʲ i nʲ lʲ o
n-inleofá	nʲ i nʲ lʲ oː h aː
d'inleofá	dʲ i nʲ lʲ oː h aː
n-inleofaí	nʲ i nʲ lʲ oː fˠ iː
d'inleofaí	dʲ i nʲ lʲ oː fˠ iː
n-inleofar	nʲ i nʲ lʲ oː fˠ ə ɾˠ
n-inleoidh	nʲ i nʲ lʲ o j
n-inleoidís	nʲ i nʲ lʲ oː dʲ iː ʃ
d'inleoidís	dʲ i nʲ lʲ oː dʲ iː ʃ
n-inleoimid	nʲ i nʲ lʲ oː mʲ i dʲ
n-inleoimis	nʲ i nʲ lʲ oː mʲ i ʃ
d'inleoimis	dʲ i nʲ lʲ oː mʲ i ʃ
n-inleoinn	nʲ i nʲ lʲ o n̻ʲ
d'inleoinn	dʲ i nʲ lʲ o n̻ʲ
n-inlí	nʲ i nʲ lʲ iː
n-inlídís	nʲ i nʲ lʲ iː dʲ iː ʃ
d'inlídís	dʲ i nʲ lʲ iː dʲ iː ʃ
n-inlígí	nʲ i nʲ lʲ iː ɟ iː
n-inlím	nʲ i nʲ lʲ iː mʲ
n-inlímid	nʲ i nʲ lʲ iː mʲ i dʲ
n-inlímis	nʲ i nʲ lʲ iː mʲ i ʃ
d'inlímis	dʲ i nʲ lʲ iː mʲ i ʃ
b'inlín	bʲ i nʲ lʲ iː nʲ
n-inlín	nʲ i nʲ lʲ iː nʲ
d'inlín	dʲ i nʲ lʲ iː nʲ
m'inlín	mʲ i nʲ lʲ iː nʲ
n-inlínn	nʲ i nʲ lʲ iː n̻ʲ
d'inlínn	dʲ i nʲ lʲ iː n̻ʲ
b'inlíocht	bʲ ˌ  i nʲ  lʲ iː ˈ a x t̪ˠ
n-inlíocht	nʲ ˌ  i nʲ  lʲ iː ˈ a x t̪ˠ
d'inlíocht	dʲ ˌ  i nʲ  lʲ iː ˈ a x t̪ˠ
m'inlíocht	mʲ ˌ  i nʲ  lʲ iː ˈ a x t̪ˠ
b'inlíochta	bʲ i nʲ lʲ ia ɾˠ t̪ˠ ə
n-inlíochta	nʲ i nʲ lʲ ia ɾˠ t̪ˠ ə
d'inlíochta	dʲ i nʲ lʲ ia ɾˠ t̪ˠ ə
m'inlíochta	mʲ i nʲ lʲ ia ɾˠ t̪ˠ ə
b'inlíochtaí	bʲ i nʲ lʲ ia ɾˠ t̪ˠ iː
n-inlíochtaí	nʲ i nʲ lʲ ia ɾˠ t̪ˠ iː
d'inlíochtaí	dʲ i nʲ lʲ ia ɾˠ t̪ˠ iː
m'inlíochtaí	mʲ i nʲ lʲ ia ɾˠ t̪ˠ iː
n-inlíodar	nʲ i nʲ lʲ iː d̪ˠ ə ɾˠ
d'inlíodar	dʲ i nʲ lʲ iː d̪ˠ ə ɾˠ
n-inlíodh	nʲ i nʲ lʲ iː uː
